"","cong","State","District","thomas_name","icpsr","Cong","year","st_name","cd","dem.x","majority","elected","female","afam","latino","votepct","dwnom1","meddist","majdist","deleg_size","speaker","chair","subchr","power","budget","seniority","state_leg","state_leg_prof","maj_leader","min_leader","south","south_dem","all_bills","all_aic","all_abc","all_pass","all_law","les","leslag","id","statecode","state","dist","name.x","partycode","dem.y","rep","cvp_appropriations","cvp_defense","cvp_veterans","cvp_foreignpolicy","cvp_economy","cvp_taxes","cvp_trade","cvp_finance","cvp_energy","cvp_environment","cvp_welfare","cvp_senior","cvp_education","cvp_housing","cvp_agriculture","cvp_labor","X","cd_fips","mrp_mean","mrp_sd","mrp_lower","mrp_upper","raw_mean","heterogeneity.sd","sample_size2","name.y","geo_name","state_fips","pres_2008"
"1",109,"AK",1,"Young, Don",14066,109,2005,"AK",1,0,1,1973,0,0,0,71,0.404000014,0.101000011,0.109999985,1,0,1,0,0,0,17,1,0.319999993,0,0,0,0,56,20,28,18,14,15.26790142,16.30007172,14066,81,"AK",1,"YOUNG      ",200,0,1,0.1201519,0.0604544,-6.36e-06,0.016593,0.0755709,0.0509719,0.25,0.1879429,0.2172087,0.1455035,0.1304387,2.63e-15,0.2220124,0.2777778,0.142758,0.0833333,8,201,0.121977955,0.060376355,0.006929523,0.239938799,0.122767526,1.512612598,396,"Alaska","Congressional District (at Large) (110th Congress), Alaska",2,0.38
"2",109,"AL",1,"Bonner, Jo",20300,109,2005,"AL",1,0,1,2002,0,0,0,63,0.524999976,0.221999973,0.010999976,7,0,0,0,0,1,2,0,0,0,0,1,0,13,0,0,0,0,0.18181245,0.08301238,20300,41,"AL",1,"BONNER     ",200,0,1,0.1136127,0.0401622,-2.45e-16,0.0319361,0.100137,0.0509719,0.2,0.1009864,0.1862293,0.1090693,0.0677806,-4.86e-15,0.125,0.1196063,0.0769231,0.25,1,101,0.182593614,0.051561316,0.082727595,0.290625129,0.220828882,1.278411843,593,"Alabama","Congressional District 1 (110th Congress), Alabama",1,0.372
"3",109,"AL",2,"Everett, Terry",29300,109,2005,"AL",2,0,1,1992,0,0,0,71,0.522000015,0.219000012,0.008000014,7,0,0,1,0,0,7,0,0,0,0,1,0,5,0,0,0,0,0.069927864,0.08301238,29300,41,"AL",2,"EVERETT    ",200,0,1,0.1944517,0.0548261,1.79e-16,0.0345402,0.0643198,0.0473715,0.0016785,0.1009864,0.2327538,0.1400729,0.0621745,-6.63e-15,0.0915776,0.2372534,0.2307692,0.25,2,102,0.329702135,0.052442423,0.220279065,0.429097593,0.384467491,1.158227638,619,"Alabama","Congressional District 2 (110th Congress), Alabama",1,0.347
"4",109,"AL",3,"Rogers, Mike",20301,109,2005,"AL",3,0,1,2002,0,0,0,61,0.463,0.159999996,0.050999999,7,0,0,1,0,0,2,1,0.067000002,0,0,1,0,36,5,7,7,2,4.342744827,NA,20301,41,"AL",3,"ROGERS     ",200,0,1,0.114317,0.0363157,-2.48e-16,0.0365854,0.0932877,0.0509719,0,0.2314211,0.2017544,0.1489362,0.0535714,2.36e-15,0.0833333,0.1111111,0.0769231,0.2244859,3,103,0.10066781,0.05284693,-0.005307417,0.196881556,0.121047646,1.191631472,544,"Alabama","Congressional District 3 (110th Congress), Alabama",1,0.424
"5",109,"AL",4,"Aderholt, Robert",29701,109,2005,"AL",4,0,1,1996,0,0,0,75,0.476000011,0.173000008,0.037999988,7,0,0,0,1,0,5,0,0,0,0,1,0,7,1,1,1,0,0.464199334,0.194318473,29701,41,"AL",4,"ADERHOLT   ",200,0,1,0.1486092,0.0525078,-3.18e-16,0.0469293,0.0521918,0.0509719,0,0.1009864,0.2105263,0.1489362,0.0892857,2.78e-17,0.1666667,0.2222222,0.0769231,0.25,4,104,0.348757454,0.051663767,0.252180998,0.45214533,0.327261177,1.173431905,585,"Alabama","Congressional District 4 (110th Congress), Alabama",1,0.2575
"6",109,"AL",5,"Cramer, Robert",29100,109,2005,"AL",5,1,0,1990,0,0,0,73,-0.122000001,0.425000012,0.635999978,7,0,0,0,1,0,8,0,0,0,0,1,1,4,0,0,0,0,0.055942293,0.066409901,29100,41,"AL",5,"CRAMER     ",100,1,0,-0.2243177,-0.2222737,-5.9e-06,-0.1257485,-0.292912,-0.1677781,-0.1851648,-0.290318,-0.026878,-0.021067,-0.2788491,-5.27e-16,-0.25,-0.2777778,-0.0769231,-0.25,5,105,0.290093893,0.047467861,0.19323963,0.38248166,0.296813059,1.295796546,668,"Alabama","Congressional District 5 (110th Congress), Alabama",1,0.389
"7",109,"AL",6,"Bachus, Spencer",29301,109,2005,"AL",6,0,1,1992,0,0,0,99,0.523000002,0.219999999,0.009000001,7,0,0,1,0,0,7,1,0.158000007,0,0,1,0,8,4,5,5,1,2.132315636,4.393753052,29301,41,"AL",6,"BACHUS     ",200,0,1,0.1473159,0.0401622,-6.18e-16,0.0461481,0.1078699,0.0478657,0.2,0.2314211,0.225973,0.1133422,0.0904365,-6.3e-15,0.1579427,0.1306759,0.1538461,0.25,6,106,0.393582234,0.045692591,0.305979325,0.485301092,0.339364515,1.267463507,711,"Alabama","Congressional District 6 (110th Congress), Alabama",1,0.226
"8",109,"AL",7,"Davis, Artur",20302,109,2005,"AL",7,1,0,2002,0,1,0,75,-0.286000013,0.588999987,0.800000012,7,0,0,0,0,1,2,0,0,0,0,1,1,7,0,0,0,0,0.097899012,0.066409901,20302,41,"AL",7,"DAVIS      ",100,1,0,-0.3485477,-0.2808255,2.4e-17,-0.1573944,-0.5115355,-0.7615281,-0.2,-0.464231,-0.1854899,-0.06493,-0.3928571,-8.6e-16,-0.2916667,-0.2777778,-0.2692308,-0.5833334,7,107,-0.224758116,0.054586096,-0.336548387,-0.12130921,-0.171958476,1.190826003,508,"Alabama","Congressional District 7 (110th Congress), Alabama",1,0.6865
"9",109,"AR",1,"Berry, Marion",29702,109,2005,"AR",1,1,0,1996,0,0,0,67,-0.317000002,0.620000005,0.83100003,4,0,0,0,1,0,5,0,0,0,0,1,1,23,1,1,1,1,0.445881158,0.311804116,29702,42,"AR",1,"BERRY      ",100,1,0,-0.2925373,-0.2684798,2.23e-16,-0.1646341,-0.4478082,-0.6677781,-0.3,-0.4207528,-0.1140351,0,-0.4464286,-4.52e-15,-0.3333333,-0.2777778,-0.1153846,-0.5833334,17,501,0.137696646,0.049212454,0.043271615,0.230031515,0.159466097,1.212717462,655,"Arkansas","Congressional District 1 (110th Congress), Arkansas",5,0.4335
"10",109,"AR",2,"Snyder, Vic",29703,109,2005,"AR",2,1,0,1996,0,0,0,58,-0.272000015,0.574999988,0.786000013,4,0,0,0,0,0,5,1,0.104000002,0,0,1,1,7,1,1,1,1,0.774906099,0.162381828,29703,42,"AR",2,"SNYDER     ",100,1,0,-0.3119493,-0.2452254,2.12e-05,-0.2348905,-0.509452,-0.7615281,-0.15,-0.4207528,-0.2980675,-0.19395,-0.4191577,2.25e-15,-0.3095585,-0.2777778,-0.1374667,-0.5833334,18,502,0.102240987,0.047876769,0.00282826,0.203291391,0.117145529,1.285085732,698,"Arkansas","Congressional District 2 (110th Congress), Arkansas",5,0.467
